# tran_losses, valid_losses
1.086768e+01 5.095145e+00
7.349795e+00 4.187567e+00
6.114980e+00 3.980045e+00
5.561954e+00 3.601581e+00
5.158704e+00 3.887558e+00
4.902147e+00 3.338098e+00
4.952444e+00 3.308221e+00
4.520570e+00 3.358690e+00
4.563292e+00 3.096782e+00
4.375313e+00 3.092113e+00
4.440458e+00 3.318400e+00
4.280734e+00 3.023560e+00
4.295830e+00 3.010221e+00
4.101665e+00 3.305950e+00
4.142271e+00 3.097841e+00
4.082624e+00 3.362495e+00
4.040251e+00 3.037720e+00
3.998647e+00 3.266594e+00
3.911079e+00 2.956871e+00
3.891164e+00 3.124570e+00
3.872120e+00 2.903063e+00
3.906997e+00 3.006163e+00
3.782918e+00 2.988033e+00
3.752108e+00 3.397315e+00
3.808551e+00 3.286916e+00
3.722031e+00 3.212231e+00
3.632502e+00 3.039781e+00
3.547805e+00 3.052049e+00
3.632717e+00 3.379353e+00
3.591662e+00 3.089447e+00
3.606207e+00 3.332672e+00
3.450214e+00 3.049873e+00
3.585350e+00 3.463131e+00
3.485077e+00 3.393263e+00
3.505835e+00 2.938154e+00
3.397010e+00 3.043635e+00
3.394602e+00 3.011193e+00
3.385839e+00 3.042187e+00
3.427541e+00 3.348447e+00
3.517183e+00 3.045722e+00
3.402215e+00 3.038511e+00
3.434371e+00 3.346002e+00
3.390565e+00 3.134812e+00
3.292852e+00 3.665022e+00
3.299919e+00 3.385892e+00
3.434807e+00 3.437073e+00
3.277529e+00 3.262902e+00
3.321726e+00 3.222217e+00
3.207603e+00 3.457406e+00
3.162289e+00 3.309117e+00
3.249500e+00 3.371059e+00
3.258088e+00 3.211235e+00
3.139858e+00 3.230219e+00
3.152203e+00 3.197747e+00
3.177584e+00 3.274797e+00
3.151877e+00 3.359316e+00
3.174907e+00 3.751373e+00
3.174388e+00 3.224870e+00
3.091236e+00 3.024105e+00
3.174142e+00 3.476043e+00
3.137123e+00 3.377150e+00
3.124455e+00 3.253198e+00
3.131105e+00 3.248138e+00
3.093550e+00 3.335759e+00
3.012490e+00 3.617844e+00
3.039252e+00 3.077651e+00
2.972537e+00 3.323309e+00
3.116795e+00 3.852422e+00
3.135607e+00 3.097230e+00
3.170312e+00 3.777093e+00
3.009926e+00 3.515007e+00
3.024570e+00 3.318815e+00
2.925200e+00 3.346812e+00
2.892867e+00 3.609979e+00
2.957775e+00 3.599753e+00
2.934573e+00 3.376141e+00
2.963007e+00 3.481970e+00
3.002492e+00 3.365323e+00
3.010715e+00 4.097283e+00
2.885343e+00 3.397071e+00
2.872259e+00 3.168194e+00
2.807336e+00 3.337848e+00
3.009781e+00 3.685306e+00
3.045487e+00 4.269772e+00
2.843094e+00 3.383368e+00
2.819054e+00 3.788331e+00
2.994000e+00 3.542501e+00
2.771941e+00 3.462646e+00
2.862872e+00 3.567896e+00
2.829933e+00 3.264813e+00
2.826868e+00 3.351724e+00
2.855850e+00 3.536886e+00
2.837219e+00 3.522445e+00
2.846859e+00 3.532383e+00
2.742314e+00 3.627633e+00
2.848774e+00 3.246497e+00
2.774253e+00 3.433690e+00
2.775820e+00 3.557382e+00
2.800670e+00 3.504523e+00
2.730983e+00 3.302451e+00
