# tran_losses, valid_losses
8.508557e+00 4.678237e+00
5.818526e+00 3.560825e+00
4.786169e+00 3.396878e+00
4.290907e+00 3.228200e+00
4.002445e+00 3.296102e+00
3.874964e+00 3.211154e+00
3.746396e+00 3.099495e+00
3.574738e+00 3.438043e+00
3.479730e+00 2.891079e+00
3.440733e+00 2.862804e+00
3.307102e+00 2.940402e+00
3.091784e+00 2.773790e+00
3.216030e+00 2.801614e+00
3.351585e+00 2.917408e+00
3.619595e+00 2.858338e+00
3.145279e+00 3.593238e+00
3.136574e+00 2.824699e+00
2.839249e+00 2.786187e+00
2.774644e+00 3.080668e+00
2.706405e+00 3.358357e+00
2.678574e+00 3.433300e+00
2.693252e+00 3.045716e+00
2.627651e+00 2.807167e+00
2.532891e+00 2.899531e+00
2.538221e+00 3.148249e+00
2.458956e+00 3.182650e+00
2.372356e+00 2.880949e+00
2.463725e+00 3.447686e+00
2.298108e+00 3.212383e+00
2.384769e+00 3.199969e+00
2.360317e+00 3.126567e+00
2.331214e+00 3.334713e+00
2.317380e+00 3.146814e+00
2.259551e+00 3.242171e+00
2.215298e+00 3.574932e+00
2.172271e+00 3.337989e+00
2.166356e+00 3.684966e+00
2.078208e+00 4.184251e+00
2.046486e+00 4.079987e+00
2.065452e+00 3.811458e+00
2.130557e+00 4.271011e+00
2.026840e+00 4.005787e+00
2.023526e+00 4.167898e+00
1.950275e+00 3.598145e+00
1.994206e+00 3.834845e+00
1.931153e+00 3.875303e+00
2.152117e+00 4.017824e+00
1.963157e+00 4.467953e+00
1.829420e+00 4.200858e+00
1.793327e+00 3.914247e+00
1.810390e+00 4.409919e+00
1.824565e+00 3.599165e+00
1.818994e+00 3.978297e+00
1.780330e+00 3.757241e+00
1.793187e+00 3.860405e+00
1.930569e+00 3.655889e+00
1.753810e+00 4.005432e+00
1.653257e+00 3.531039e+00
1.749214e+00 4.051021e+00
1.725967e+00 5.078251e+00
1.741782e+00 4.231197e+00
1.620797e+00 4.240909e+00
1.638162e+00 4.186372e+00
1.601569e+00 3.893549e+00
1.546983e+00 4.317817e+00
1.602881e+00 4.191622e+00
1.559211e+00 4.037201e+00
1.525919e+00 4.171114e+00
1.512261e+00 3.836167e+00
1.471384e+00 4.030960e+00
1.476222e+00 5.116448e+00
1.537576e+00 4.182504e+00
1.545336e+00 4.250068e+00
1.469594e+00 4.037575e+00
1.508108e+00 4.437841e+00
1.463720e+00 4.433741e+00
1.444603e+00 4.092029e+00
1.751629e+00 3.890779e+00
1.395209e+00 4.328811e+00
1.416463e+00 5.736558e+00
1.370901e+00 4.818456e+00
1.345804e+00 4.455207e+00
1.348105e+00 4.625811e+00
1.406776e+00 5.067696e+00
1.390045e+00 4.629745e+00
1.364647e+00 4.336869e+00
1.317807e+00 4.881715e+00
1.338341e+00 4.702395e+00
1.279880e+00 4.484600e+00
1.254076e+00 5.453294e+00
1.289749e+00 4.559053e+00
1.308147e+00 4.286563e+00
1.221323e+00 5.839529e+00
1.320071e+00 5.605272e+00
1.239330e+00 4.738903e+00
1.192368e+00 5.194562e+00
1.203683e+00 4.454412e+00
1.179298e+00 4.899124e+00
1.254581e+00 5.215872e+00
1.363184e+00 4.544560e+00
