# tran_losses, valid_losses
1.474689e+01 5.461268e+00
6.381667e+00 4.383928e+00
5.769512e+00 3.959353e+00
5.502296e+00 3.918691e+00
5.372748e+00 3.995746e+00
5.048191e+00 3.753724e+00
5.033204e+00 3.450940e+00
4.732072e+00 3.523057e+00
4.756743e+00 3.319562e+00
4.632046e+00 3.230263e+00
4.516291e+00 3.278686e+00
4.505044e+00 3.306025e+00
4.387729e+00 3.485986e+00
4.268489e+00 3.670308e+00
4.107614e+00 3.351121e+00
4.034817e+00 3.162883e+00
4.104916e+00 3.196079e+00
3.911656e+00 3.242494e+00
3.904816e+00 3.203167e+00
3.840851e+00 3.421187e+00
3.747526e+00 3.090772e+00
3.763703e+00 3.216858e+00
3.701542e+00 2.998689e+00
3.612127e+00 3.492227e+00
3.656774e+00 2.965746e+00
3.545396e+00 3.026427e+00
3.498832e+00 2.992472e+00
3.492454e+00 3.079363e+00
3.534311e+00 2.950526e+00
3.412126e+00 2.971704e+00
3.302931e+00 3.415472e+00
3.278111e+00 3.387389e+00
3.364310e+00 3.468125e+00
3.435476e+00 3.464158e+00
3.378221e+00 3.012343e+00
3.355169e+00 3.308290e+00
3.229072e+00 3.183408e+00
3.154974e+00 3.254902e+00
3.239158e+00 3.088585e+00
3.232476e+00 3.052241e+00
3.263383e+00 3.218375e+00
3.225686e+00 2.958809e+00
3.174425e+00 3.955633e+00
3.246150e+00 3.010115e+00
3.191896e+00 3.220375e+00
3.059062e+00 3.388849e+00
3.100062e+00 3.484354e+00
3.000104e+00 3.777553e+00
3.104528e+00 3.205339e+00
2.973227e+00 3.240202e+00
2.961925e+00 4.026479e+00
2.941564e+00 3.545979e+00
3.022900e+00 4.257656e+00
3.020987e+00 3.810448e+00
2.939286e+00 3.964920e+00
2.935527e+00 3.377118e+00
3.008181e+00 3.679506e+00
2.911919e+00 3.814399e+00
2.885951e+00 3.705413e+00
2.896224e+00 3.628899e+00
2.877329e+00 4.049740e+00
2.801263e+00 3.630381e+00
2.764885e+00 3.643352e+00
2.849415e+00 4.116325e+00
2.788006e+00 4.304247e+00
2.741255e+00 6.020244e+00
2.890810e+00 3.788290e+00
3.041578e+00 4.413817e+00
2.703099e+00 4.192085e+00
2.910283e+00 4.849728e+00
2.757850e+00 4.726377e+00
2.760153e+00 4.594062e+00
2.738265e+00 4.458693e+00
2.712712e+00 3.968884e+00
2.738734e+00 4.843552e+00
2.773051e+00 4.486328e+00
2.763809e+00 5.499460e+00
2.667756e+00 4.479993e+00
2.705251e+00 4.290087e+00
2.727031e+00 4.703090e+00
2.636370e+00 5.130213e+00
2.534944e+00 6.244474e+00
2.701423e+00 4.358708e+00
2.610947e+00 4.291587e+00
2.704647e+00 4.908359e+00
2.664810e+00 4.823022e+00
2.627253e+00 6.416303e+00
2.664894e+00 4.605918e+00
2.546160e+00 4.568128e+00
2.741583e+00 4.970088e+00
2.685716e+00 5.365814e+00
2.582990e+00 4.959185e+00
2.601093e+00 5.150612e+00
2.588917e+00 4.614899e+00
2.443462e+00 4.649959e+00
2.459269e+00 5.212219e+00
2.620816e+00 4.583282e+00
2.443812e+00 4.663218e+00
2.570016e+00 5.120104e+00
2.583744e+00 4.951643e+00
