# tran_losses, valid_losses
8.306655e+00 7.609198e+00
5.706332e+00 5.928055e+00
4.646437e+00 5.221942e+00
4.074323e+00 4.926718e+00
3.712325e+00 5.211864e+00
3.557643e+00 5.009800e+00
3.419745e+00 4.875202e+00
3.261888e+00 4.787654e+00
3.287582e+00 4.783725e+00
3.105974e+00 4.732784e+00
3.037922e+00 4.698996e+00
3.055772e+00 5.004878e+00
2.886440e+00 4.850701e+00
2.924925e+00 4.724815e+00
2.782506e+00 4.694803e+00
2.756494e+00 4.773178e+00
2.768079e+00 4.548186e+00
2.678331e+00 4.427882e+00
2.634864e+00 4.559924e+00
2.585291e+00 4.655505e+00
2.558957e+00 4.490288e+00
2.499668e+00 4.580328e+00
2.484672e+00 5.564962e+00
2.513032e+00 4.505347e+00
2.416594e+00 4.356065e+00
2.359322e+00 4.883402e+00
2.340532e+00 4.433130e+00
2.233962e+00 4.277338e+00
2.225029e+00 4.367663e+00
2.254990e+00 4.631318e+00
2.181699e+00 4.968843e+00
2.223174e+00 4.482967e+00
2.116754e+00 4.275854e+00
2.130145e+00 4.211502e+00
2.061298e+00 4.718143e+00
2.188889e+00 4.255396e+00
2.073421e+00 4.182332e+00
2.030390e+00 4.158082e+00
2.025162e+00 4.271036e+00
2.045799e+00 4.317365e+00
1.960986e+00 4.176612e+00
1.942881e+00 4.602731e+00
1.901375e+00 4.327649e+00
1.897832e+00 4.105659e+00
1.922506e+00 4.227971e+00
1.929729e+00 4.254497e+00
1.854227e+00 4.167142e+00
1.798547e+00 4.114057e+00
1.796857e+00 4.138849e+00
1.779879e+00 4.061023e+00
1.732236e+00 3.984741e+00
1.766229e+00 4.220293e+00
1.776397e+00 4.025601e+00
1.753937e+00 3.998395e+00
1.692163e+00 3.954881e+00
1.704765e+00 4.173866e+00
1.665242e+00 4.647905e+00
1.652666e+00 3.991029e+00
1.665734e+00 4.130367e+00
1.622921e+00 3.902235e+00
1.601177e+00 4.028495e+00
1.598459e+00 3.935454e+00
1.641571e+00 3.944116e+00
1.557596e+00 4.040185e+00
1.590120e+00 4.009149e+00
1.552128e+00 4.023049e+00
1.525622e+00 4.137205e+00
1.574647e+00 3.901885e+00
1.549763e+00 4.144536e+00
1.558911e+00 4.146539e+00
1.482929e+00 4.139906e+00
1.503787e+00 4.121012e+00
1.466194e+00 4.201657e+00
1.427291e+00 4.121952e+00
1.433440e+00 4.218894e+00
1.409056e+00 4.174104e+00
1.454630e+00 4.233811e+00
1.435364e+00 4.333929e+00
1.403581e+00 4.104074e+00
1.410968e+00 4.388536e+00
1.374187e+00 4.274101e+00
1.399499e+00 4.063548e+00
1.329497e+00 4.457727e+00
1.360106e+00 4.248148e+00
1.277708e+00 4.509326e+00
1.327589e+00 4.313319e+00
1.324149e+00 4.117471e+00
1.259386e+00 4.438367e+00
1.306443e+00 4.169590e+00
1.269646e+00 4.154777e+00
1.233127e+00 4.224221e+00
1.293830e+00 4.205436e+00
1.256153e+00 4.327296e+00
1.266184e+00 4.335540e+00
1.247848e+00 4.186881e+00
1.265206e+00 4.219028e+00
1.196231e+00 4.286327e+00
1.194814e+00 4.316509e+00
1.178026e+00 4.309075e+00
1.262650e+00 4.479683e+00
