# tran_losses, valid_losses
8.308576e+00 5.605330e+00
6.678254e+00 3.854092e+00
5.684388e+00 3.659328e+00
5.361039e+00 3.512655e+00
5.227101e+00 3.581602e+00
5.018467e+00 3.361622e+00
4.872682e+00 3.345950e+00
4.738291e+00 3.511653e+00
4.737473e+00 3.723642e+00
4.655619e+00 3.637972e+00
4.585164e+00 3.197899e+00
4.388087e+00 4.012223e+00
4.413410e+00 3.366804e+00
4.395813e+00 3.133154e+00
4.296854e+00 3.920655e+00
4.213290e+00 3.056593e+00
4.452497e+00 3.116899e+00
4.332540e+00 3.174260e+00
4.108851e+00 3.246275e+00
3.994699e+00 3.310439e+00
4.062807e+00 3.399661e+00
3.960127e+00 3.413503e+00
3.986475e+00 3.059999e+00
3.835528e+00 3.422755e+00
3.789091e+00 3.742380e+00
3.797723e+00 3.683292e+00
3.720024e+00 3.256034e+00
3.736904e+00 4.089395e+00
3.636283e+00 3.411561e+00
3.769094e+00 3.245941e+00
3.582534e+00 3.389703e+00
3.666621e+00 3.559193e+00
3.508113e+00 3.237886e+00
3.485872e+00 3.281286e+00
3.476125e+00 3.288757e+00
3.356466e+00 3.102760e+00
3.388929e+00 3.166829e+00
3.417439e+00 3.400611e+00
3.297833e+00 3.271877e+00
3.396009e+00 3.083338e+00
3.372066e+00 3.714632e+00
3.368517e+00 3.485615e+00
3.274191e+00 3.166445e+00
3.298202e+00 3.300392e+00
3.274204e+00 3.564938e+00
3.271335e+00 3.433705e+00
3.197358e+00 3.502145e+00
3.251370e+00 3.197717e+00
3.227627e+00 3.968998e+00
3.277344e+00 3.849007e+00
3.457704e+00 2.889249e+00
3.320327e+00 4.077609e+00
3.240689e+00 3.517371e+00
3.147094e+00 3.891667e+00
3.102337e+00 4.029931e+00
3.061978e+00 4.665245e+00
3.117771e+00 2.996452e+00
3.090296e+00 3.190683e+00
3.033387e+00 3.176539e+00
3.047473e+00 3.261394e+00
3.199793e+00 3.422498e+00
3.034854e+00 3.340418e+00
2.921113e+00 3.490035e+00
2.964245e+00 4.313825e+00
3.098286e+00 3.954888e+00
2.954577e+00 3.573347e+00
2.853748e+00 4.024442e+00
3.070842e+00 3.464328e+00
3.017092e+00 3.842376e+00
2.941813e+00 3.890611e+00
2.913351e+00 4.426142e+00
2.905086e+00 3.703990e+00
2.979024e+00 3.455653e+00
2.893001e+00 4.612193e+00
2.879528e+00 3.254784e+00
3.056315e+00 3.402036e+00
2.927599e+00 3.622291e+00
2.984469e+00 3.543432e+00
2.881487e+00 4.304683e+00
2.860754e+00 3.732013e+00
2.881561e+00 3.563241e+00
2.832649e+00 4.222381e+00
2.830990e+00 4.932814e+00
2.948124e+00 3.579892e+00
2.808630e+00 3.591559e+00
2.823478e+00 3.823237e+00
2.792545e+00 3.650631e+00
2.775794e+00 4.111436e+00
2.830874e+00 3.798956e+00
2.756430e+00 3.794108e+00
2.776402e+00 3.448894e+00
2.796075e+00 3.404768e+00
2.641837e+00 3.925693e+00
2.714518e+00 3.608201e+00
2.716777e+00 3.985187e+00
2.694800e+00 3.819857e+00
2.724856e+00 3.448124e+00
2.894115e+00 3.785797e+00
2.731888e+00 3.595185e+00
2.744337e+00 3.579306e+00
