# tran_losses, valid_losses
1.042757e+01 8.057755e+00
7.812488e+00 7.635483e+00
6.599001e+00 6.207313e+00
5.562153e+00 5.673093e+00
5.018301e+00 5.273786e+00
4.777654e+00 5.038103e+00
4.629262e+00 4.867672e+00
4.500358e+00 5.084828e+00
4.425450e+00 4.624037e+00
4.335700e+00 4.861831e+00
4.287871e+00 4.492084e+00
4.187222e+00 4.502840e+00
4.106566e+00 4.388370e+00
4.094961e+00 4.485472e+00
3.962020e+00 4.178433e+00
3.904140e+00 3.972232e+00
3.798419e+00 4.016026e+00
3.824229e+00 4.206248e+00
3.747153e+00 4.048305e+00
3.696805e+00 3.846234e+00
3.641030e+00 3.753647e+00
3.572919e+00 3.887774e+00
3.546465e+00 3.840720e+00
3.465413e+00 3.772442e+00
3.411088e+00 3.673097e+00
3.381509e+00 3.937338e+00
3.441112e+00 3.651182e+00
3.321666e+00 3.751735e+00
3.245349e+00 3.596457e+00
3.282846e+00 3.536915e+00
3.228018e+00 3.465814e+00
3.239680e+00 3.426832e+00
3.132109e+00 3.936933e+00
3.220868e+00 3.351538e+00
3.019740e+00 3.432362e+00
3.025574e+00 3.417214e+00
2.955148e+00 3.275177e+00
2.970132e+00 3.620476e+00
2.943873e+00 3.230017e+00
2.969905e+00 3.544215e+00
2.864944e+00 3.331389e+00
2.827271e+00 3.293182e+00
2.829262e+00 3.217201e+00
2.780846e+00 3.159490e+00
2.737604e+00 3.264380e+00
2.692554e+00 3.148495e+00
2.656497e+00 3.104163e+00
2.688982e+00 3.203226e+00
2.637226e+00 2.993706e+00
2.605848e+00 3.063106e+00
2.572114e+00 3.114824e+00
2.528656e+00 3.052607e+00
2.586326e+00 3.084307e+00
2.490331e+00 3.018447e+00
2.436864e+00 2.937883e+00
2.473079e+00 2.929384e+00
2.462882e+00 2.992216e+00
2.405320e+00 2.988309e+00
2.394689e+00 2.934840e+00
2.364424e+00 2.849589e+00
2.340181e+00 3.002840e+00
2.327494e+00 2.775116e+00
2.334137e+00 3.221915e+00
2.306201e+00 3.147675e+00
2.274356e+00 2.946166e+00
2.234283e+00 2.964637e+00
2.199577e+00 2.787468e+00
2.147711e+00 2.771605e+00
2.127511e+00 2.813480e+00
2.109339e+00 2.757063e+00
2.095674e+00 2.745094e+00
2.103559e+00 2.789487e+00
2.076232e+00 2.748944e+00
2.004808e+00 2.718920e+00
1.994796e+00 2.696967e+00
2.038656e+00 2.695190e+00
2.259586e+00 2.909077e+00
2.010424e+00 2.694126e+00
1.962119e+00 2.682830e+00
1.954378e+00 2.848968e+00
1.979996e+00 2.643224e+00
1.912784e+00 2.602601e+00
1.920714e+00 2.633606e+00
1.938114e+00 2.680236e+00
1.898808e+00 2.639043e+00
1.834012e+00 2.686899e+00
1.843740e+00 2.656511e+00
1.855703e+00 2.621077e+00
1.898942e+00 2.609098e+00
1.796521e+00 2.668619e+00
1.869943e+00 2.707087e+00
1.835947e+00 2.685500e+00
1.763182e+00 2.560509e+00
1.749175e+00 2.621599e+00
1.725388e+00 2.616273e+00
1.706531e+00 2.541657e+00
1.751333e+00 2.573530e+00
1.677037e+00 2.588505e+00
1.691535e+00 2.531678e+00
1.654128e+00 2.626914e+00
