# tran_losses, valid_losses
9.901183e+00 8.116683e+00
7.745608e+00 7.505206e+00
6.677918e+00 6.291788e+00
5.660702e+00 5.626433e+00
5.114346e+00 5.380252e+00
4.794814e+00 5.151987e+00
4.615895e+00 5.115065e+00
4.531192e+00 4.690999e+00
4.405893e+00 4.585960e+00
4.386323e+00 4.837978e+00
4.256662e+00 5.061006e+00
4.221375e+00 4.426147e+00
4.109826e+00 4.342353e+00
3.999657e+00 4.130869e+00
3.958160e+00 4.101437e+00
3.868512e+00 4.077719e+00
3.816425e+00 4.023313e+00
3.737235e+00 4.020531e+00
3.708750e+00 3.897414e+00
3.627830e+00 3.811361e+00
3.619657e+00 4.052238e+00
3.621992e+00 3.831517e+00
3.535497e+00 3.748820e+00
3.445224e+00 3.847442e+00
3.463519e+00 3.772433e+00
3.379472e+00 3.618924e+00
3.379642e+00 3.579843e+00
3.298216e+00 3.695931e+00
3.301119e+00 3.576295e+00
3.269027e+00 3.634175e+00
3.258974e+00 3.552081e+00
3.293445e+00 3.515038e+00
3.192284e+00 3.512004e+00
3.180331e+00 3.436770e+00
3.148384e+00 3.492149e+00
3.135334e+00 3.393723e+00
3.101366e+00 3.509677e+00
3.101171e+00 3.357789e+00
3.045701e+00 3.429311e+00
3.028401e+00 3.309142e+00
3.002681e+00 3.347103e+00
2.986247e+00 3.342100e+00
2.948655e+00 3.406470e+00
2.911157e+00 3.342177e+00
2.980182e+00 3.407514e+00
2.899813e+00 3.200809e+00
2.809197e+00 3.240695e+00
2.751583e+00 3.247266e+00
2.750623e+00 3.242493e+00
2.737664e+00 3.175697e+00
2.710731e+00 3.143031e+00
2.648015e+00 3.144873e+00
2.627767e+00 3.126023e+00
2.636976e+00 3.135364e+00
2.643577e+00 3.158763e+00
2.570707e+00 3.055492e+00
2.533894e+00 3.040206e+00
2.535773e+00 3.032443e+00
2.532936e+00 3.119689e+00
2.468931e+00 3.072863e+00
2.427091e+00 2.969403e+00
2.397817e+00 2.959980e+00
2.427660e+00 2.940892e+00
2.328432e+00 2.939236e+00
2.316782e+00 2.916895e+00
2.288287e+00 3.015800e+00
2.313009e+00 3.016256e+00
2.231100e+00 2.862142e+00
2.244687e+00 2.918286e+00
2.268060e+00 2.868423e+00
2.212748e+00 2.835961e+00
2.269481e+00 2.790319e+00
2.179435e+00 2.989659e+00
2.183416e+00 2.827534e+00
2.131215e+00 2.877228e+00
2.093227e+00 2.774431e+00
2.086120e+00 2.871809e+00
2.069495e+00 2.728413e+00
2.066214e+00 2.945805e+00
2.048512e+00 2.799810e+00
2.011274e+00 2.711515e+00
1.996785e+00 2.708163e+00
1.971408e+00 2.716599e+00
1.987201e+00 2.792201e+00
1.946994e+00 3.112597e+00
1.998751e+00 2.867759e+00
1.957147e+00 2.845441e+00
1.946947e+00 2.920163e+00
1.887750e+00 2.688837e+00
1.908614e+00 2.721125e+00
1.911187e+00 3.217605e+00
1.856613e+00 2.812171e+00
1.960329e+00 2.747686e+00
1.838360e+00 2.749738e+00
1.758089e+00 2.696702e+00
1.805570e+00 2.636995e+00
1.813974e+00 2.723019e+00
1.815918e+00 2.675284e+00
1.771773e+00 2.664302e+00
1.768312e+00 2.618281e+00
