# tran_losses, valid_losses
1.568258e+01 4.802515e+00
6.673347e+00 4.108630e+00
5.900048e+00 3.974763e+00
5.606781e+00 4.235846e+00
5.494680e+00 4.388062e+00
5.372623e+00 4.113112e+00
5.130962e+00 3.844642e+00
5.018046e+00 4.140360e+00
5.035413e+00 4.253492e+00
4.869023e+00 4.082871e+00
4.771506e+00 3.874408e+00
4.681525e+00 3.797069e+00
4.914780e+00 4.037310e+00
4.578288e+00 3.934350e+00
4.415526e+00 3.778367e+00
4.526147e+00 4.170881e+00
4.321988e+00 3.869450e+00
4.306990e+00 3.811572e+00
4.213021e+00 3.913246e+00
4.127917e+00 3.854247e+00
4.036988e+00 4.055195e+00
3.902590e+00 4.690894e+00
3.805384e+00 4.464706e+00
4.065059e+00 4.010787e+00
3.938661e+00 4.018320e+00
3.807174e+00 4.781445e+00
3.785403e+00 4.752187e+00
3.917372e+00 4.015408e+00
3.827305e+00 4.139919e+00
3.778437e+00 4.642421e+00
3.749850e+00 4.499367e+00
3.535624e+00 4.420867e+00
3.686018e+00 3.964732e+00
3.669859e+00 3.886944e+00
3.591569e+00 3.982934e+00
3.698640e+00 4.022755e+00
3.535150e+00 4.301174e+00
3.540707e+00 5.747103e+00
3.455788e+00 4.403502e+00
3.577653e+00 3.998591e+00
3.469715e+00 4.138016e+00
3.351996e+00 3.892920e+00
3.294435e+00 4.776851e+00
3.352322e+00 5.774428e+00
3.291000e+00 4.308681e+00
3.268902e+00 4.546848e+00
3.331858e+00 4.645238e+00
3.280880e+00 4.261313e+00
3.317450e+00 4.058554e+00
3.408101e+00 5.130256e+00
3.254530e+00 4.094871e+00
3.163184e+00 4.582185e+00
3.149224e+00 4.077502e+00
3.100063e+00 4.600789e+00
3.184215e+00 4.981874e+00
3.278382e+00 3.916037e+00
3.226447e+00 4.153764e+00
3.104400e+00 4.276160e+00
3.033080e+00 4.296499e+00
3.075190e+00 4.250993e+00
3.029558e+00 5.674595e+00
3.060122e+00 4.529182e+00
3.009942e+00 4.234494e+00
3.002209e+00 4.383678e+00
2.968231e+00 4.722468e+00
2.958606e+00 5.046808e+00
2.933245e+00 5.285070e+00
3.120390e+00 5.005007e+00
2.915803e+00 4.651280e+00
2.976085e+00 4.776135e+00
2.848621e+00 5.108034e+00
2.940692e+00 4.144567e+00
2.835249e+00 4.877118e+00
2.926749e+00 4.682333e+00
2.836111e+00 4.386833e+00
2.949325e+00 4.733627e+00
2.845852e+00 5.637481e+00
2.805599e+00 4.529788e+00
2.705116e+00 4.715927e+00
2.817237e+00 4.819087e+00
2.802687e+00 4.136777e+00
2.812227e+00 4.923373e+00
2.815161e+00 5.534246e+00
2.689502e+00 5.107626e+00
2.759718e+00 5.183784e+00
2.693126e+00 4.604372e+00
2.807278e+00 5.229174e+00
2.729344e+00 4.692384e+00
2.755592e+00 5.310609e+00
2.687711e+00 5.216876e+00
2.711661e+00 4.541344e+00
2.744866e+00 4.552926e+00
2.590400e+00 5.175160e+00
2.675288e+00 6.034561e+00
2.699862e+00 5.095348e+00
2.658436e+00 4.623241e+00
2.609296e+00 5.595066e+00
2.603705e+00 5.755402e+00
2.638204e+00 5.311017e+00
2.638385e+00 6.337051e+00
