# tran_losses, valid_losses
1.006797e+01 7.049862e+00
5.917277e+00 5.841422e+00
4.818714e+00 4.864931e+00
4.279924e+00 4.426561e+00
3.932376e+00 4.064599e+00
3.789534e+00 3.881156e+00
3.653949e+00 3.795292e+00
3.567587e+00 3.664441e+00
3.439910e+00 3.580946e+00
3.374998e+00 3.563542e+00
3.381362e+00 4.127735e+00
3.214258e+00 3.474394e+00
3.111485e+00 3.347007e+00
3.062027e+00 3.220779e+00
3.033584e+00 3.328708e+00
2.971024e+00 3.234654e+00
2.927667e+00 3.115031e+00
2.840674e+00 3.027650e+00
2.739817e+00 2.946698e+00
2.695273e+00 3.047317e+00
2.613894e+00 2.924595e+00
2.616428e+00 2.931188e+00
2.549512e+00 3.138380e+00
2.564493e+00 2.842140e+00
2.519507e+00 2.910996e+00
2.506580e+00 2.908468e+00
2.427792e+00 3.093527e+00
2.409887e+00 3.004468e+00
2.375229e+00 2.693904e+00
2.303230e+00 2.770755e+00
2.266409e+00 2.707953e+00
2.248724e+00 2.633121e+00
2.209681e+00 2.664282e+00
2.204862e+00 2.723578e+00
2.234960e+00 2.647456e+00
2.189678e+00 2.681944e+00
2.135096e+00 2.636996e+00
2.067114e+00 2.603775e+00
2.113185e+00 2.504497e+00
2.056636e+00 2.840459e+00
2.014831e+00 2.576794e+00
2.006573e+00 2.518892e+00
2.051897e+00 2.539579e+00
1.978385e+00 2.470397e+00
1.962121e+00 2.423008e+00
1.952427e+00 2.521683e+00
1.994962e+00 2.562226e+00
1.910184e+00 2.510821e+00
1.893982e+00 2.610111e+00
1.880756e+00 2.457152e+00
1.817322e+00 2.418379e+00
1.851709e+00 2.523976e+00
1.786128e+00 2.460397e+00
1.779706e+00 2.515699e+00
1.796316e+00 2.402450e+00
1.707346e+00 2.362051e+00
1.721974e+00 2.349189e+00
1.712895e+00 2.434627e+00
1.732982e+00 2.238308e+00
1.674926e+00 2.382697e+00
1.659132e+00 2.202402e+00
1.612785e+00 2.257986e+00
1.678593e+00 2.277594e+00
1.651319e+00 2.298609e+00
1.642447e+00 2.322575e+00
1.594169e+00 2.522969e+00
1.635392e+00 2.244628e+00
1.582124e+00 2.394721e+00
1.556701e+00 2.296404e+00
1.535940e+00 2.416066e+00
1.604511e+00 2.262635e+00
1.568513e+00 2.296090e+00
1.512163e+00 2.122716e+00
1.520228e+00 2.470484e+00
1.564668e+00 2.502015e+00
1.483527e+00 2.159794e+00
1.487269e+00 2.297540e+00
1.469949e+00 2.302216e+00
1.505222e+00 2.410114e+00
1.421013e+00 2.182972e+00
1.462815e+00 2.069212e+00
1.426671e+00 2.085144e+00
1.401751e+00 2.255193e+00
1.411245e+00 2.062172e+00
1.358114e+00 2.128039e+00
1.342194e+00 2.068283e+00
1.388531e+00 2.113709e+00
1.404324e+00 2.166736e+00
1.279179e+00 2.057749e+00
1.326805e+00 2.186971e+00
1.279775e+00 2.005573e+00
1.321936e+00 2.050899e+00
1.424362e+00 1.978190e+00
1.268498e+00 2.112664e+00
1.287094e+00 2.133763e+00
1.242878e+00 2.195046e+00
1.291226e+00 2.047397e+00
1.359267e+00 1.994692e+00
1.288422e+00 2.264335e+00
1.288857e+00 2.134892e+00
