# tran_losses, valid_losses
1.143520e+01 4.988395e+00
7.241455e+00 3.972581e+00
6.189258e+00 3.707585e+00
5.671677e+00 3.631546e+00
5.342685e+00 3.708151e+00
5.351149e+00 3.613195e+00
4.999286e+00 3.358627e+00
5.039887e+00 3.128177e+00
4.811814e+00 3.716701e+00
4.651246e+00 3.180081e+00
4.547475e+00 2.984363e+00
4.508879e+00 3.537156e+00
4.504613e+00 2.986885e+00
4.367192e+00 3.035330e+00
4.319964e+00 3.045277e+00
4.344221e+00 3.393322e+00
4.264267e+00 3.250834e+00
4.204164e+00 3.039812e+00
4.141234e+00 3.108647e+00
4.112159e+00 3.546320e+00
4.070970e+00 2.993009e+00
3.978045e+00 2.923220e+00
4.068035e+00 2.958380e+00
3.993374e+00 3.549521e+00
3.935246e+00 2.966542e+00
3.900235e+00 2.740484e+00
3.865707e+00 2.944491e+00
3.809092e+00 3.393215e+00
3.696344e+00 3.026427e+00
3.694772e+00 2.844527e+00
3.815763e+00 2.727699e+00
3.782555e+00 3.081835e+00
3.633973e+00 3.442320e+00
3.858622e+00 2.959290e+00
3.872665e+00 2.993748e+00
3.712109e+00 3.044342e+00
3.582288e+00 3.164145e+00
3.547773e+00 3.074000e+00
3.622487e+00 3.141223e+00
3.621573e+00 3.083221e+00
3.531726e+00 3.473672e+00
3.514638e+00 3.526013e+00
3.749018e+00 3.774100e+00
3.727003e+00 3.151650e+00
3.437773e+00 3.005921e+00
3.501407e+00 3.998820e+00
3.480061e+00 3.230512e+00
3.486350e+00 3.035069e+00
3.447479e+00 3.125526e+00
3.397758e+00 3.443117e+00
3.343677e+00 3.010348e+00
3.288607e+00 3.469993e+00
3.360506e+00 3.257715e+00
3.511125e+00 3.305105e+00
3.400129e+00 3.617516e+00
3.269666e+00 2.853764e+00
3.380720e+00 3.757752e+00
3.259644e+00 3.076168e+00
3.226604e+00 3.129303e+00
3.168621e+00 3.318520e+00
3.222351e+00 2.961658e+00
3.164112e+00 3.609932e+00
3.134985e+00 2.958584e+00
3.335757e+00 3.838206e+00
3.376462e+00 3.261028e+00
3.211392e+00 3.165171e+00
3.137715e+00 3.077412e+00
3.224058e+00 3.109459e+00
3.064006e+00 3.677862e+00
3.215380e+00 3.479472e+00
3.018738e+00 3.224528e+00
3.125821e+00 3.299644e+00
3.054104e+00 3.535619e+00
3.082048e+00 3.126580e+00
3.127956e+00 3.726446e+00
3.084222e+00 3.437148e+00
3.197362e+00 3.464050e+00
3.201440e+00 3.672158e+00
3.040855e+00 4.222661e+00
3.095358e+00 4.041480e+00
3.019627e+00 3.580849e+00
2.931746e+00 3.950654e+00
3.053719e+00 3.502712e+00
3.072941e+00 3.647101e+00
2.951698e+00 4.530022e+00
2.917200e+00 3.956301e+00
3.102492e+00 4.742892e+00
3.015755e+00 3.767788e+00
2.972295e+00 3.839888e+00
3.002678e+00 3.945093e+00
2.927747e+00 4.069355e+00
2.958061e+00 3.826687e+00
2.869640e+00 3.589891e+00
2.887779e+00 4.037257e+00
2.769870e+00 3.540290e+00
2.937640e+00 3.572464e+00
2.869800e+00 3.647763e+00
2.868733e+00 4.231857e+00
2.878567e+00 4.468024e+00
2.988211e+00 4.638591e+00
