# tran_losses, valid_losses
1.030677e+01 3.692729e+00
5.256425e+00 3.387799e+00
4.701446e+00 3.301483e+00
4.404082e+00 3.672703e+00
4.221788e+00 3.187531e+00
4.051661e+00 3.631629e+00
3.945696e+00 3.210076e+00
3.852885e+00 3.293257e+00
3.693871e+00 3.174979e+00
3.651345e+00 3.212027e+00
3.540867e+00 3.555630e+00
3.432485e+00 3.414090e+00
3.367323e+00 3.467356e+00
3.310903e+00 3.889359e+00
3.284689e+00 3.948694e+00
3.224228e+00 3.783118e+00
3.124336e+00 3.688016e+00
3.081024e+00 3.535805e+00
3.029021e+00 3.945012e+00
2.990284e+00 4.634640e+00
2.994715e+00 3.567467e+00
2.879516e+00 3.690766e+00
2.849288e+00 3.622673e+00
2.851627e+00 3.859151e+00
2.769437e+00 3.750746e+00
2.791517e+00 3.615597e+00
2.714381e+00 3.803986e+00
2.712369e+00 4.305816e+00
2.647712e+00 3.855983e+00
2.650229e+00 3.480317e+00
2.617941e+00 3.519852e+00
2.583783e+00 4.308561e+00
2.548022e+00 3.630646e+00
2.497686e+00 4.305536e+00
2.443816e+00 3.720394e+00
2.412870e+00 3.701979e+00
2.398007e+00 4.110122e+00
2.399811e+00 4.048317e+00
2.358384e+00 3.855729e+00
2.359648e+00 4.145418e+00
2.298843e+00 4.033517e+00
2.271085e+00 4.345744e+00
2.267848e+00 4.235139e+00
2.256104e+00 3.693491e+00
2.175284e+00 4.191290e+00
2.195984e+00 3.835288e+00
2.198651e+00 3.997023e+00
2.176341e+00 4.456035e+00
2.086766e+00 4.172828e+00
2.123196e+00 3.938034e+00
2.034951e+00 4.006328e+00
2.070312e+00 4.637890e+00
2.028502e+00 3.773596e+00
2.084949e+00 4.419257e+00
2.005035e+00 4.034061e+00
1.978347e+00 4.895184e+00
1.939452e+00 4.283152e+00
1.934862e+00 4.880021e+00
1.936028e+00 5.137862e+00
1.889518e+00 5.042432e+00
1.875112e+00 4.163916e+00
1.854458e+00 4.795725e+00
1.852195e+00 4.233688e+00
1.826688e+00 5.399585e+00
1.819985e+00 4.290674e+00
1.776103e+00 5.116484e+00
1.765276e+00 4.728117e+00
1.770154e+00 5.081734e+00
1.733287e+00 4.966824e+00
1.731795e+00 4.632709e+00
1.755155e+00 5.056354e+00
1.714139e+00 4.802257e+00
1.669340e+00 5.384587e+00
1.696397e+00 4.789408e+00
1.697949e+00 4.657549e+00
1.686794e+00 5.867238e+00
1.652912e+00 5.577389e+00
1.617720e+00 5.730238e+00
1.624690e+00 4.944245e+00
1.592841e+00 5.421403e+00
1.600183e+00 6.127824e+00
1.591544e+00 4.981266e+00
1.575406e+00 4.715116e+00
1.607061e+00 5.997513e+00
1.542148e+00 6.612690e+00
1.526656e+00 5.462743e+00
1.545074e+00 6.453439e+00
1.528010e+00 5.865359e+00
1.520746e+00 5.847971e+00
1.507238e+00 5.552712e+00
1.505841e+00 5.861567e+00
1.467076e+00 6.954486e+00
1.455135e+00 5.488528e+00
1.445367e+00 5.501494e+00
1.438868e+00 5.559784e+00
1.409431e+00 6.011420e+00
1.427901e+00 5.726453e+00
1.411309e+00 5.412501e+00
1.426317e+00 5.671611e+00
1.400094e+00 6.504963e+00
